Sample   	OWR	           Timestamp
      682	0  	       38.000,000 us
      683	1  	       29.000,000 us
      684	0  	      543.000,000 us
      685	1  	       11.000,000 us
      686	0  	       56.000,000 us
      687	1  	       10.000,000 us
      688	0  	       57.000,000 us
      689	1  	       28.000,000 us
      690	0  	       39.000,000 us
      691	1  	       28.000,000 us
      692	0  	       39.000,000 us
      693	1  	       28.000,000 us
      694	0  	       38.000,000 us
      695	1  	       29.000,000 us
      696	0  	       38.000,000 us
      697	1  	       29.000,000 us
      698	0  	       38.000,000 us
      699	1  	       29.000,000 us
      700	0  	      543.000,000 us
      701	1  	       11.000,000 us
      702	0  	       56.000,000 us
      703	1  	       10.000,000 us
      704	0  	       57.000,000 us
      705	1  	       10.000,000 us
      706	0  	       57.000,000 us
      707	1  	       10.000,000 us
      708	0  	       57.000,000 us
      709	1  	       10.000,000 us
      710	0  	       56.000,000 us
      711	1  	       11.000,000 us
      712	0  	       56.000,000 us
      713	1  	       10.000,000 us
      714	0  	       57.000,000 us
      715	1  	       29.000,000 us
      716	0  	      543.000,000 us
      717	1  	       11.000,000 us
      718	0  	       56.000,000 us
      719	1  	       10.000,000 us
      720	0  	       57.000,000 us
      721	1  	       10.000,000 us
      722	0  	       57.000,000 us
      723	1  	       10.000,000 us
      724	0  	       57.000,000 us
      725	1  	       10.000,000 us
      726	0  	       56.000,000 us
      727	1  	       11.000,000 us
      728	0  	       56.000,000 us
      729	1  	       10.000,000 us
      730	0  	       57.000,000 us
      731	1  	       10.000,000 us
      732	0  	      562.000,000 us
      733	1  	       29.000,000 us
      734	0  	       38.000,000 us
      735	1  	       10.000,000 us
      736	0  	       57.000,000 us
      737	1  	       28.000,000 us
      738	0  	       39.000,000 us
      739	1  	       28.000,000 us
      740	0  	       39.000,000 us
      741	1  	       28.000,000 us
      742	0  	       38.000,000 us
      743	1  	       29.000,000 us
      744	0  	       38.000,000 us
      745	1  	       29.000,000 us
      746	0  	       38.000,000 us
      747	1  	       29.000,000 us
      748	0  	      543.000,000 us
      749	1  	       29.000,000 us
      750	0  	       38.000,000 us
      751	1  	       29.000,000 us
      752	0  	       38.000,000 us
      753	1  	       28.000,000 us
      754	0  	       39.000,000 us
      755	1  	       28.000,000 us
      756	0  	       39.000,000 us
      757	1  	       10.000,000 us
      758	0  	       56.000,000 us
      759	1  	       29.000,000 us
      760	0  	       38.000,000 us
      761	1  	       29.000,000 us
      762	0  	       38.000,000 us
      763	1  	       29.000,000 us
      764	0  	      543.000,000 us
      765	1  	       10.000,000 us
      766	0  	       57.000,000 us
      767	1  	       29.000,000 us
      768	0  	       38.000,000 us
      769	1  	       10.000,000 us
      770	0  	       57.000,000 us
      771	1  	       28.000,000 us
      772	0  	       38.000,000 us
      773	1  	       29.000,000 us
      774	0  	       38.000,000 us
      775	1  	       29.000,000 us
      776	0  	       38.000,000 us
      777	1  	       10.000,000 us
      778	0  	       57.000,000 us
      779	1  	       28.000,000 us
