Sample   	OWR	           Timestamp
      414	0  	       56.000,000 us
      415	1  	       57.000,000 us
      416	0  	        8.000,000 us
      417	1  	       10.000,000 us
      418	0  	       57.000,000 us
      419	1  	       57.000,000 us
      420	0  	        8.000,000 us
      421	1  	       10.000,000 us
      422	0  	       57.000,000 us
      423	1  	       57.000,000 us
      424	0  	      521.000,000 us
      425	1  	       57.000,000 us
      426	0  	        8.000,000 us
      427	1  	       57.000,000 us
      428	0  	        8.000,000 us
      429	1  	       57.000,000 us
      430	0  	        8.000,000 us
      431	1  	       10.000,000 us
      432	0  	       56.000,000 us
      433	1  	       57.000,000 us
      434	0  	        8.000,000 us
      435	1  	       10.000,000 us
      436	0  	       57.000,000 us
      437	1  	       57.000,000 us
      438	0  	        8.000,000 us
      439	1  	       57.000,000 us
      440	0  	      525.000,000 us
      441	1  	       10.000,000 us
      442	0  	       57.000,000 us
      443	1  	       10.000,000 us
      444	0  	       57.000,000 us
      445	1  	       56.000,000 us
      446	0  	        8.000,000 us
      447	1  	       11.000,000 us
      448	0  	       56.000,000 us
      449	1  	       10.000,000 us
      450	0  	       57.000,000 us
      451	1  	       57.000,000 us
      452	0  	        8.000,000 us
      453	1  	       57.000,000 us
      454	0  	        8.000,000 us
      455	1  	       10.000,000 us
      456	0  	      568.000,000 us
      457	1  	       10.000,000 us
      458	0  	       57.000,000 us
      459	1  	       10.000,000 us
      460	0  	       57.000,000 us
      461	1  	       10.000,000 us
      462	0  	       56.000,000 us
      463	1  	       11.000,000 us
      464	0  	       56.000,000 us
      465	1  	       57.000,000 us
      466	0  	        8.000,000 us
      467	1  	       57.000,000 us
      468	0  	        8.000,000 us
      469	1  	       10.000,000 us
      470	0  	       57.000,000 us
      471	1  	       10.000,000 us
      472	0  	      566.000,000 us
      473	1  	       57.000,000 us
      474	0  	        8.000,000 us
      475	1  	       57.000,000 us
      476	0  	        8.000,000 us
      477	1  	       57.000,000 us
      478	0  	        8.000,000 us
      479	1  	       10.000,000 us
      480	0  	       56.000,000 us
      481	1  	       57.000,000 us
      482	0  	        8.000,000 us
      483	1  	       57.000,000 us
      484	0  	        8.000,000 us
      485	1  	       10.000,000 us
      486	0  	       57.000,000 us
      487	1  	       10.000,000 us
      488	0  	      572.000,000 us
      489	1  	       57.000,000 us
      490	0  	        8.000,000 us
      491	1  	       57.000,000 us
      492	0  	        8.000,000 us
      493	1  	       57.000,000 us
      494	0  	        7.000,000 us
      495	1  	       57.000,000 us
      496	0  	        8.000,000 us
      497	1  	       57.000,000 us
      498	0  	        8.000,000 us
      499	1  	       57.000,000 us
      500	0  	        8.000,000 us
      501	1  	       57.000,000 us
      502	0  	        8.000,000 us
      503	1  	       57.000,000 us
      504	0  	      529.000,000 us
      505	1  	       57.000,000 us
      506	0  	        8.000,000 us
      507	1  	       57.000,000 us
      508	0  	        8.000,000 us
      509	1  	       56.000,000 us
      510	0  	        8.000,000 us
      511	1  	       57.000,000 us
      512	0  	        8.000,000 us
      513	1  	       57.000,000 us
      514	0  	        8.000,000 us
      515	1  	       57.000,000 us
      516	0  	        8.000,000 us
      517	1  	       57.000,000 us
      518	0  	        8.000,000 us
      519	1  	       57.000,000 us
      520	0  	      529.000,000 us
      521	1  	       57.000,000 us
      522	0  	        8.000,000 us
      523	1  	       57.000,000 us
      524	0  	        7.000,000 us
      525	1  	       57.000,000 us
      526	0  	        8.000,000 us
      527	1  	       57.000,000 us
      528	0  	        8.000,000 us
      529	1  	       57.000,000 us
      530	0  	        8.000,000 us
      531	1  	       57.000,000 us
      532	0  	        8.000,000 us
      533	1  	       57.000,000 us
      534	0  	        8.000,000 us
      535	1  	       56.000,000 us
